MeterKey,DateKey,TimeKey,MeterReading,Source,ApparentTemperature,IsSuspicious,AirTemperature,DewPointTemperature,RelativeHumidity
123,20200314,154500,8.00000,LaTrobe_CSV-orig_20200315074655.csv,NULL,NULL,NULL,NULL,NULL
123,20200116,4500,9.50000,LaTrobe_CSV-orig_20200116004850.csv,NULL,NULL,NULL,NULL,NULL
123,20200116,30000,8.75000,LaTrobe_CSV-orig_20200116032853.csv,17.70000,NULL,17.2,16.6,96
123,20200314,161500,7.50000,LaTrobe_CSV-orig_20200315074655.csv,NULL,NULL,NULL,NULL,NULL
123,20200107,11500,NULL,LaTrobe_CSV-orig_20200107092047.csv,NULL,NULL,NULL,NULL,NULL
123,20200112,21500,8.50000,LaTrobe_CSV-orig_20200112022650.csv,NULL,NULL,NULL,NULL,NULL
123,20200110,181500,17.00000,LaTrobe_CSV-orig_20200110183357.csv,NULL,NULL,NULL,NULL,NULL
123,20200116,234500,9.75000,LaTrobe_CSV-orig_20200116234759.csv,NULL,NULL,NULL,NULL,NULL
123,20200116,100000,32.75000,LaTrobe_CSV-orig_20200116100456.csv,15.10000,NULL,15.4,15.4,100
123,20200315,123000,8.00000,LaTrobe_CSV-orig_20200316053156.csv,15.00000,NULL,17.6,9.2,58
123,20200315,111500,8.25000,LaTrobe_CSV-orig_20200316053156.csv,NULL,NULL,NULL,NULL,NULL
123,20200315,103000,9.00000,LaTrobe_CSV-orig_20200316054657.csv,13.70000,NULL,15.5,10.7,73
123,20200116,93000,27.50000,LaTrobe_CSV-orig_20200116094655.csv,15.20000,NULL,15.2,15.2,100
123,20200102,220000,9.75000,LaTrobe_CSV-orig_20200102222101.csv,16.80000,NULL,18.3,10.4,60
123,20200116,14500,9.00000,LaTrobe_CSV-orig_20200116014851.csv,NULL,NULL,NULL,NULL,NULL
123,20200314,61500,8.25000,LaTrobe_CSV-orig_20200315074655.csv,NULL,NULL,NULL,NULL,NULL
123,20200107,131500,NULL,LaTrobe_CSV-orig_20200107175012.csv,NULL,NULL,NULL,NULL,NULL
123,20200107,114500,NULL,LaTrobe_CSV-orig_20200107174415.csv,NULL,NULL,NULL,NULL,NULL
123,20200103,23000,9.00000,LaTrobe_CSV-orig_20200103023352.csv,14.40000,NULL,14.3,13.8,97
123,20200114,223000,9.25000,LaTrobe_CSV-orig_20200114224758.csv,25.00000,NULL,27.8,10.1,33
123,20200312,204500,7.50000,LaTrobe_CSV-orig_20200312231700.csv,NULL,NULL,NULL,NULL,NULL
123,20200109,101500,37.25000,LaTrobe_CSV-orig_20200109144838.csv,NULL,NULL,NULL,NULL,NULL
123,20200116,124500,32.00000,LaTrobe_CSV-orig_20200116130557.csv,NULL,NULL,NULL,NULL,NULL
123,20200107,111500,NULL,LaTrobe_CSV-orig_20200107174415.csv,NULL,NULL,NULL,NULL,NULL
123,20200108,210000,22.75000,LaTrobe_CSV-orig_20200109090333.csv,21.80000,NULL,22,16.7,72
123,20200103,174500,65.25000,LaTrobe_CSV-orig_20200103180606.csv,NULL,NULL,NULL,NULL,NULL
123,20200113,181500,58.75000,LaTrobe_CSV-orig_20200113183256.csv,NULL,NULL,NULL,NULL,NULL
123,20200103,144500,58.75000,LaTrobe_CSV-orig_20200103145005.csv,NULL,NULL,NULL,NULL,NULL
123,20200108,1500,11.50000,LaTrobe_CSV-orig_20200109090333.csv,NULL,NULL,NULL,NULL,NULL
123,20200110,21500,18.50000,LaTrobe_CSV-orig_20200110032853.csv,NULL,NULL,NULL,NULL,NULL
123,20200312,104500,46.00000,LaTrobe_CSV-orig_20200312170258.csv,NULL,NULL,NULL,NULL,NULL
123,20200104,73000,8.50000,LaTrobe_CSV-orig_20200104073157.csv,21.20000,NULL,23.3,6.6,34
123,20200108,114500,40.25000,LaTrobe_CSV-orig_20200109090333.csv,NULL,NULL,NULL,NULL,NULL
123,20200113,131500,51.25000,LaTrobe_CSV-orig_20200113133255.csv,NULL,NULL,NULL,NULL,NULL
123,20200312,83000,19.25000,LaTrobe_CSV-orig_20200312170258.csv,19.60000,NULL,20.7,10.8,53
123,20200109,171500,64.25000,LaTrobe_CSV-orig_20200109173234.csv,NULL,NULL,NULL,NULL,NULL
123,20200113,53000,15.25000,LaTrobe_CSV-orig_20200113053453.csv,11.20000,NULL,11.5,11.5,100
123,20200111,20000,10.25000,LaTrobe_CSV-orig_20200111021051.csv,12.00000,NULL,12.9,12.7,99
123,20200109,1500,11.75000,LaTrobe_CSV-orig_20200109092132.csv,NULL,NULL,NULL,NULL,NULL
123,20200104,74500,8.50000,LaTrobe_CSV-orig_20200104074658.csv,NULL,NULL,NULL,NULL,NULL
123,20200102,211500,9.75000,LaTrobe_CSV-orig_20200102213500.csv,NULL,NULL,NULL,NULL,NULL
123,20200229,31500,7.75000,LaTrobe_CSV-orig_20200301130601.csv,NULL,NULL,NULL,NULL,NULL
123,20200107,64500,NULL,LaTrobe_CSV-orig_20200107092047.csv,NULL,NULL,NULL,NULL,NULL
123,20200105,1500,10.25000,LaTrobe_CSV-orig_20200106173510.csv,NULL,NULL,NULL,NULL,NULL
123,20200113,233000,9.25000,LaTrobe_CSV-orig_20200113234659.csv,21.90000,NULL,22.4,16,67
123,20200116,3000,9.00000,LaTrobe_CSV-orig_20200116003150.csv,19.00000,NULL,18.7,18.7,100
123,20200112,20000,9.00000,LaTrobe_CSV-orig_20200112021553.csv,13.10000,NULL,13.9,11.8,87
123,20200103,233000,8.50000,LaTrobe_CSV-orig_20200104000451.csv,24.80000,NULL,25.9,10.1,37
123,20200115,180000,44.75000,LaTrobe_CSV-orig_20200115180458.csv,24.20000,NULL,21.1,21.1,100
123,20200311,203000,8.25000,LaTrobe_CSV-orig_20200312170258.csv,25.00000,NULL,24.2,12.5,48
123,20200102,51500,15.75000,LaTrobe_CSV-orig_20200102053356.csv,NULL,NULL,NULL,NULL,NULL
123,20200103,103000,36.25000,LaTrobe_CSV-orig_20200103104805.csv,19.60000,NULL,20.5,11.4,56
123,20200103,64500,14.50000,LaTrobe_CSV-orig_20200103070304.csv,NULL,NULL,NULL,NULL,NULL
123,20200110,201500,9.75000,LaTrobe_CSV-orig_20200110211858.csv,NULL,NULL,NULL,NULL,NULL
123,20200106,183000,NULL,LaTrobe_CSV-orig_20200107092047.csv,15.50000,NULL,14.7,14.7,100
123,20200104,11500,8.75000,LaTrobe_CSV-orig_20200104011751.csv,NULL,NULL,NULL,NULL,NULL
123,20200312,40000,10.50000,LaTrobe_CSV-orig_20200312170258.csv,14.80000,NULL,15.9,13,83
123,20200113,104500,34.25000,LaTrobe_CSV-orig_20200113104958.csv,NULL,NULL,NULL,NULL,NULL
123,20200110,231500,8.50000,LaTrobe_CSV-orig_20200111000549.csv,NULL,NULL,NULL,NULL,NULL
